taxon,ol,ext,int,geomm,opt,groups
tip1,4.38,4.55,2.41,3.634970159,0.291439611,nocturnal
tip2,9.66,7.98,6.35,7.881059041,0.523079178,nocturnal
tip3,9.98,8.51,6.29,8.114035727,0.465844733,nocturnal
tip4,8.26,6.78,5.06,6.568306637,0.457184284,nocturnal
tip5,8.88,6.53,5.2,6.705685232,0.46631624,nocturnal
tip6,12.04,11.09,8.3,10.34853108,0.515938755,nocturnal
tip7,8.94,7.69,6.2,7.525785733,0.559138659,nocturnal
tip8,8.57,7.4,5.6,7.081634742,0.494496831,nocturnal
tip9,8.11,6.77,5.16,6.56779731,0.484942091,nocturnal
tip10,4.89,4.38,2.45,3.743831994,0.280252309,diurnal
tip11,9.07,7.94,4.81,7.0230262,0.321264223,diurnal
tip12,4.85,3.73,2.1,3.361681946,0.243774357,diurnal
tip13,6.3,5.44,3.66,5.005800202,0.390861345,diurnal
tip14,10.94,10.3,4.57,8.015370138,0.185343711,diurnal
tip15,13.24,9.7,4.2,8.140223639,0.137353225,diurnal
tip16,5.9,4.95,2.05,3.912043637,0.143896593,diurnal
tip17,13.09,9.28,3.9,7.795621474,0.125210743,nocturnal
tip18,12.1,6.1,3.3,6.245152508,0.147540984,diurnal
tip19,5.7,3.23,1.77,3.194112547,0.170164576,diurnal
tip20,16.8,9.2,3.86,8.418372485,0.096400104,diurnal
tip21,8.59,6.52,2.99,5.511933669,0.15962526,diurnal
tip22,9.9,8.7,4.47,7.274793277,0.231985371,diurnal
tip23,6.45,4.88,2.33,4.185800118,0.172477443,diurnal
tip24,12.17,7.59,4,7.175697383,0.17321585,diurnal
tip25,5.1,4.2,1.8,3.378293082,0.151260504,diurnal
tip26,9,3.87,1.77,3.950410682,0.08994832,diurnal
tip27,13,6.64,2.43,5.941634078,0.06840709,diurnal
tip28,11.98,5.36,2.1,5.127987614,0.068677896,diurnal
tip29,8.29,4.7,2.09,4.334438962,0.112108924,diurnal
tip30,13.09,8.4,3.23,7.081748268,0.094882498,diurnal
tip31,11.44,7.53,3.24,6.535146639,0.121862202,diurnal
tip32,17.21,12.78,6.39,11.20136272,0.185647879,diurnal
tip33,20.33,13.09,5.32,11.2287019,0.106352142,diurnal
tip34,16.18,10.74,3.91,8.791301718,0.087977318,diurnal
tip35,12.51,7.28,2.86,6.386333206,0.089813863,diurnal
tip36,9.82,6.5,2.8,5.632842723,0.122826257,diurnal
tip37,8.5,5.75,2.67,5.072234736,0.145859847,diurnal
tip38,7.33,4.3,1.8,3.842509753,0.102795139,diurnal
tip39,7.76,4.87,2.28,4.416807889,0.137555833,diurnal
tip40,14.75,9.84,5.54,9.298915355,0.211462037,diurnal
tip41,12.28,8.74,4.52,7.857470239,0.190356219,diurnal
tip42,10.16,6.92,3.16,6.056600969,0.142028128,diurnal
tip43,18.78,12.18,5.74,10.95010431,0.144039269,diurnal
tip44,11.66,8.03,3.69,7.016924774,0.145424854,diurnal
tip45,10.44,7.75,3.68,6.677542692,0.167376097,diurnal
tip46,21.48,12.37,5.78,11.53747054,0.125733701,diurnal
tip47,13.68,8.08,4.1,7.681165188,0.152079353,diurnal
tip48,5.77,3.6,1.36,3.0455968,0.089042942,diurnal
tip49,5.12,3.88,1.85,3.324740892,0.17228274,diurnal
tip50,6.95,4.15,2.13,3.945822106,0.157299125,diurnal
tip51,6.78,4.5,2.1,4.00147862,0.144542773,diurnal
tip52,6.63,3.7,1.6,3.398430648,0.104357751,diurnal
tip53,5.65,3.14,1.7,3.112736363,0.162899498,diurnal
tip54,9.4,4.15,1.76,4.094770251,0.079405281,diurnal
tip55,8.02,4.5,2,4.163631567,0.110834026,diurnal
tip56,7.2,3.93,1.97,3.820003472,0.137153661,diurnal
tip57,8.2,4.8,2,4.285765079,0.101626016,diurnal
tip58,6.17,3.23,1.61,3.177638735,0.130066084,diurnal
tip59,6.48,3.7,1.7,3.441453325,0.120537204,diurnal
tip60,11.34,6.96,3.16,6.294623985,0.12651787,diurnal
tip61,45.41,32.06,22.63,32.05776133,0.351766184,cathemeral
tip62,24.6,17.03,11.58,16.92853743,0.320086504,cathemeral
tip63,31.5,16.55,11.4,18.11358727,0.249287872,cathemeral
tip64,20.52,14.85,9.99,14.49293795,0.327511962,cathemeral
tip65,18.25,11.74,8.77,12.33985869,0.35897832,cathemeral
tip66,18.82,12.56,8.6,12.66784001,0.31288709,diurnal
tip67,19.5,13.65,9.6,13.67139502,0.346238377,cathemeral
tip68,21.62,12.25,8.23,12.9657369,0.255745436,cathemeral
tip69,13.92,9.28,6,9.185711911,0.278686088,diurnal
tip70,13.38,8.26,5.73,8.587437599,0.297079773,diurnal
tip71,19.23,12.85,8.33,12.72064515,0.280806781,diurnal
tip72,24,19.43,11.87,17.68933828,0.30214638,diurnal
tip73,23.54,16.23,10.59,15.9345687,0.293539765,diurnal
tip74,25.2,17.01,10.01,16.24973604,0.233756287,diurnal
tip75,22.7,15.75,11.01,15.78936186,0.339053493,cathemeral
tip76,18.98,12.65,8.27,12.56890415,0.284855288,cathemeral
tip77,18.83,10.69,7.05,11.23756924,0.246916555,cathemeral
tip78,22.05,16.56,10.7,15.75013333,0.313544097,diurnal
tip79,25.36,21.83,13.45,19.52728013,0.326769553,diurnal
tip80,19.77,13.21,8.74,13.16659994,0.292491587,diurnal
tip81,17.29,10.84,6.32,10.58068499,0.21311297,cathemeral
tip82,28,15.75,9.85,16.31642241,0.220005669,diurnal
tip83,20.6,12.65,10.88,14.1534467,0.454255344,nocturnal
tip84,28.08,26.3,19.07,24.14911289,0.49243457,nocturnal
tip85,29.1,26.13,15.41,22.71320108,0.312300643,nocturnal
tip86,15.54,14.04,10.46,13.16588131,0.501470335,nocturnal
tip87,19.37,16.77,11.21,15.38471417,0.386855292,cathemeral
tip88,14.45,14.17,11.12,13.15570606,0.603909522,nocturnal
tip89,14.39,13.65,9.74,12.41416368,0.482974797,nocturnal
tip90,15.74,14.84,11.52,13.90903615,0.568154341,nocturnal
tip91,13.75,12.27,9.4,11.6616062,0.5237312,nocturnal
tip92,14.07,13.05,9.16,11.89232294,0.456968578,cathemeral
tip93,15.23,14.14,9,12.46801379,0.376128036,cathemeral
tip94,16.79,10.96,8.65,11.67595608,0.406603361,nocturnal
tip95,5.7,4.33,3.05,4.222349679,0.376909363,diurnal
tip96,16.28,12.17,7.46,11.39098471,0.28088767,diurnal
tip97,12.89,10.03,5.2,8.760301728,0.209147577,cathemeral
tip98,11,8.2,4.46,7.382109203,0.220527716,diurnal
tip99,12.28,10.1,6.3,9.210575426,0.320008385,diurnal
tip100,9.69,6.07,3.9,6.121516509,0.258592989,diurnal
tip101,21.72,12.69,7.92,12.97225692,0.227577289,diurnal
tip102,16.2,10.02,6.4,10.12793495,0.252334836,diurnal
tip103,10.9,7.06,5.06,7.302315147,0.332713049,cathemeral
tip104,65.05,21.24,14.56,27.19700385,0.153433763,cathemeral
tip105,16.39,12.82,8.53,12.14708312,0.34628293,diurnal
tip106,25.44,20.87,13.9,19.46934998,0.363906694,cathemeral
tip107,14.6,10.85,7.8,10.73064265,0.384066662,cathemeral
tip108,19.8,14.55,8.85,13.66125144,0.271868166,diurnal
tip109,15.7,11.8,7.7,11.2570379,0.320036705,cathemeral
tip110,11.6,9.5,6.5,8.947430158,0.383393829,cathemeral
tip111,26.75,16,10,16.23608276,0.23364486,cathemeral
tip112,21.7,14.57,10.22,14.78393555,0.330356234,cathemeral
tip113,23.6,15.3,10.8,15.74015712,0.323030907,diurnal
tip114,21.62,14.08,9.54,14.26709566,0.29897743,cathemeral
tip115,23.58,15.78,10.35,15.67462104,0.287892201,cathemeral
tip116,17.83,15.33,8.17,13.07089075,0.244202786,diurnal
tip117,19.87,18,10.23,15.40926777,0.292604429,nocturnal
tip118,34,39,20,29.82115819,0.301659125,nocturnal
tip119,21.7,23.52,12.44,18.51707891,0.303210132,nocturnal
tip120,19.5,20.09,11,16.27305446,0.308866511,cathemeral
tip121,15.47,16.18,10.56,13.82645729,0.445511589,nocturnal
tip122,26.59,29.8,17.92,24.2153566,0.405267156,nocturnal
tip123,24.17,23.73,15.1,20.53605941,0.397538785,nocturnal
tip124,18.42,19.2,11.24,15.84111409,0.357224937,nocturnal
tip125,14.63,14.8,6.96,11.46493932,0.223723929,diurnal
tip126,24.08,18.34,10.28,16.55832146,0.239293232,diurnal
tip127,28.11,18.91,12.3,18.6990336,0.284615042,diurnal
tip128,39.87,29.55,17.92,27.63846433,0.272566382,cathemeral
tip129,42.75,31.5,20,29.97497914,0.297038894,cathemeral
tip130,31.75,21.5,13,20.70340831,0.247573704,diurnal
tip131,29.1,21.3,13.08,20.08908296,0.27602149,diurnal
tip132,15.48,11.61,7.58,11.0855555,0.319694552,diurnal
tip133,28.08,22.01,12.97,20.01331545,0.272184134,diurnal
tip134,31.3,23.5,13,21.22520291,0.229760044,diurnal
tip135,33,25,14.25,22.73820989,0.246136364,diurnal
tip136,34.3,28.8,16.2,25.2,0.265670554,cathemeral
tip137,35.16,28.3,15.82,25.06189621,0.251522972,diurnal
tip138,12.76,9.9,6.46,9.34485992,0.330353694,diurnal
tip139,20.1,14.9,7.65,13.18301017,0.195407192,diurnal
tip140,17.71,13.78,8.24,12.62210136,0.27821891,diurnal
tip141,25,20,13,18.66255578,0.338,cathemeral
tip142,29,20.67,12.83,19.7388438,0.274609045,diurnal
tip143,14,10,6.5,9.690521083,0.301785714,diurnal
tip144,16.59,11.31,7.57,11.24091396,0.305409659,diurnal
tip145,15,10.89,7.18,10.5458404,0.315594735,diurnal
tip146,18,11.7,6.9,11.32667621,0.226068376,diurnal
tip147,18.77,11.94,7.42,11.84743046,0.245662695,diurnal
tip148,22.95,14.1,9.51,14.54545931,0.279485468,diurnal
tip149,30.25,18.38,11.89,18.76798209,0.254268653,diurnal
tip150,10.2,6.97,4.34,6.757315964,0.264939376,diurnal
tip151,8.1,5.7,3.97,5.680459404,0.341366688,diurnal
tip152,7.7,4.84,3.55,5.09551573,0.338158742,diurnal
tip153,13.2,10.35,6.3,9.512286964,0.290513834,diurnal
tip154,13.5,10.25,6.55,9.677569776,0.310045167,diurnal
tip155,12.64,10.13,6.42,9.367646976,0.321894486,diurnal
tip156,11.23,7.9,5.48,7.863136267,0.338496568,diurnal
tip157,11.65,8.39,5.48,8.121248787,0.307236798,diurnal
tip158,10.16,5.81,4.03,6.196193362,0.275131459,diurnal
tip159,10.07,7.7,5.6,7.572444069,0.404441636,diurnal
tip160,7.21,5.48,3.71,5.272661743,0.348362979,diurnal
tip161,9.89,6.77,4.68,6.792196961,0.327119735,diurnal
tip162,8.15,7.42,4.68,6.565519905,0.362184777,diurnal
tip163,9.25,6.36,4.28,6.314624629,0.311378548,diurnal
tip164,11.35,7.58,5.48,7.783027086,0.349056757,diurnal
tip165,20.48666667,12.05,6.94,11.96573203,0.195101493,unknown
tip166,15.13,8.8,6.3,9.430919761,0.2980983,unknown
tip167,31.7225,16.5025,8.9125,16.70983764,0.151733662,unknown
tip168,27.605,14.56,9.57,15.66824503,0.227863492,unknown
tip169,11.85,7.02,4.46,7.185606662,0.239119093,unknown
tip170,19.52,17.55,13.87,16.81168065,0.561559771,unknown
tip171,45.6,34.5,20,31.56976224,0.254258835,unknown
tip172,17.65,13.52,9.08,12.94004391,0.345501785,unknown
tip173,14.53,7.8,4.72,8.117720084,0.196572961,unknown
tip174,30.245,17.23,10.66,17.71054899,0.218059767,unknown
tip175,23.14,14.01,10.8,15.18477689,0.359787459,unknown
tip176,12.3,10.6,7.26,9.818591668,0.40426139,unknown
tip177,38.045,25.96,13.935,23.96457602,0.196612746,unknown
tip178,29.3,20.5,11.32,18.9447685,0.213339549,unknown
tip179,77.57,56.76,37.84,55.02530206,0.325211637,unknown
tip180,37.21,23.86,16.97,24.69850411,0.324364693,unknown
tip181,37.34,33.7,18.38,28.49158263,0.268464459,unknown
tip182,41.18,22.08,13,22.77943359,0.185866574,unknown
tip183,40.38,25.73,15.47,25.23667519,0.230342739,unknown
tip184,47.3,37.24,23.42,34.55301123,0.311388786,unknown
tip185,38.34,37.44,24.62,32.81648028,0.422267978,unknown
tip186,49,47,25,38.61398725,0.27138515,unknown
tip187,26.93,18.45,13.45,18.83584044,0.364092594,unknown
tip188,11.58,10.82,5.85,9.01634585,0.273134092,unknown
